,0,1,2
69,-30.78862847652529,55.16378875072679,0.25
70,-30.260688030317613,54.14181681573198,0.375
71,-31.218065002722575,56.020163360782924,0.25
72,-30.850457413857757,67.74290217196499,0.375
73,-30.850457413857757,67.74290217196499,0.0
74,-30.850457413857757,67.74290217196499,0.0
75,-30.92037995560173,55.65321133108108,0.125
76,-30.88293202526513,55.63854898174009,0.125
77,-30.812108208825098,58.50600999225221,0.125
78,-31.108142665894167,55.83612172764558,0.25
79,-31.014909437725873,55.66947711593607,0.125
80,-31.014909437725873,55.66947711593607,0.0
81,-30.993347374853087,55.633256041491386,0.125
82,-31.73942808977469,57.064362414784775,0.125
83,-32.02296082198646,57.633830411309425,0.5
84,-31.143883540359383,55.95462120622638,0.25
85,-31.143883540359383,55.95462120622638,0.0
86,-32.73475970443733,59.04798620331233,0.25
87,-32.385925280927566,58.35228011637257,0.25
88,-30.625063238530572,54.831551843544766,0.5
89,-28.774389129043414,51.157871092053696,0.625
90,-29.136546970314605,51.8510846314265,0.375
91,-28.671599378544833,50.92527250410631,0.375
92,-27.193082526224828,48.08026277273973,0.25
93,-27.03018262448698,48.89164572356704,0.125
94,-27.999813319784554,49.595464735620325,0.125
95,-29.25915032394258,52.09518617396902,0.25
96,-28.386232905481666,50.361341030685274,0.25
97,-27.809235456244846,49.32878860644918,0.125
98,-28.071779317558292,49.763075812666244,0.125
99,-27.813682235600993,51.724331615615384,0.125
100,-27.813682235600993,51.724331615615384,0.0
101,-28.047547667788322,49.75057456633058,0.25
102,-28.76730263963462,51.127890700808955,0.5
103,-28.946872308903018,51.480696210053196,0.125
104,-28.987100195254698,51.55973411863469,0.125
105,-28.6659027726413,50.92998782891962,0.125
106,-28.23449764556489,50.574571520694406,0.125
107,-28.23449764556489,50.574571520694406,0.0
108,-28.870215574429093,51.33886325617904,0.125
109,-28.655574554324375,50.94306075661689,0.125
110,-28.604639100044874,50.863860190486314,0.125
111,-28.604639100044874,50.863860190486314,0.0
112,-28.166753205859433,49.94806424578449,0.375
113,-29.189746625916435,51.95959795906682,0.125
114,-28.912100749218176,51.41122597110658,0.125
115,-28.622084705538917,50.85908149532331,0.125
116,-30.003524764143037,53.59521302876042,0.625
117,-30.60925193789228,54.80837477925637,0.25
118,-34.12137089953265,61.81242262268338,0.375
119,-31.075866126015214,55.73296072018236,0.5
120,-29.2849338763109,52.74635476042282,0.5
121,-29.723752119575714,53.0577278096052,0.125
122,-29.723752119575714,53.0577278096052,0.0
123,-30.56225533096337,54.69738567269439,0.5
124,-30.034231775145074,53.640245938877655,0.5
125,-28.688209656789617,50.94977704865168,0.375
126,-26.673823215304438,46.94883044722188,0.25
127,-27.032850054184973,47.66312189973768,0.375
128,-inf,23910.84738517618,0.0
